t, dist, e_dist, dist_err, input, output, error
0.000000, 0.000000, 5453.929207, -5453.929207, -1.570796, 1.047197, -2.617993, 
0.000100, 0.062830, 5318.387900, -5318.325070, -1.570796, 1.047196, -2.617992, 
0.000200, 0.125650, 5186.437536, -5186.311886, -1.570796, 1.047192, -2.617988, 
0.000300, 0.188451, 5058.167271, -5057.978820, -1.570796, 1.047184, -2.617980, 
0.000400, 0.251222, 4933.449509, -4933.198287, -1.570796, 1.047174, -2.617970, 
0.000500, 0.313953, 4812.163045, -4811.849092, -1.570796, 1.047161, -2.617957, 
0.000600, 0.376634, 4694.192622, -4693.815989, -1.570796, 1.047146, -2.617942, 
0.000700, 0.439256, 4579.428525, -4578.989269, -1.570796, 1.047127, -2.617923, 
0.000800, 0.501808, 4467.766195, -4467.264386, -1.570796, 1.047106, -2.617902, 
0.000900, 0.564282, 4359.105888, -4358.541607, -1.570796, 1.047081, -2.617877, 
0.001000, 0.626666, 4253.352358, -4252.725692, -1.570796, 1.047054, -2.617850, 
0.001100, 0.688951, 4150.414558, -4149.725607, -1.570796, 1.047024, -2.617820, 
0.001200, 0.751128, 4050.205377, -4049.454249, -1.570796, 1.046991, -2.617787, 
0.001300, 0.813186, 3952.641388, -3951.828202, -1.570796, 1.046955, -2.617751, 
0.001400, 0.875115, 3857.642623, -3856.767508, -1.570796, 1.046916, -2.617712, 
0.001500, 0.936906, 3765.132363, -3764.195456, -1.570796, 1.046875, -2.617671, 
0.001600, 0.998550, 3675.036940, -3674.038391, -1.570796, 1.046830, -2.617626, 
0.001700, 1.060035, 3587.285565, -3586.225530, -1.570796, 1.046783, -2.617579, 
0.001800, 1.121354, 3501.810158, -3500.688804, -1.570796, 1.046733, -2.617529, 
0.001900, 1.182495, 3418.545196, -3417.362701, -1.570796, 1.046680, -2.617476, 
0.002000, 1.243449, 3337.427574, -3336.184125, -1.570796, 1.046624, -2.617420, 
0.002100, 1.304207, 3258.396473, -3257.092265, -1.570796, 1.046565, -2.617361, 
0.002200, 1.364759, 3181.393239, -3180.028479, -1.570796, 1.046503, -2.617299, 
0.002300, 1.425096, 3106.361271, -3104.936175, -1.570796, 1.046439, -2.617235, 
0.002400, 1.485208, 3033.245919, -3031.760711, -1.570796, 1.046372, -2.617168, 
0.002500, 1.545085, 2961.994380, -2960.449296, -1.570796, 1.046301, -2.617097, 
0.002600, 1.604718, 2892.555619, -2890.950901, -1.570796, 1.046228, -2.617024, 
0.002700, 1.664097, 2824.880273, -2823.216176, -1.570796, 1.046152, -2.616948, 
0.002800, 1.723214, 2758.920584, -2757.197370, -1.570796, 1.046073, -2.616869, 
0.002900, 1.782059, 2694.630318, -2692.848259, -1.570796, 1.045992, -2.616788, 
0.003000, 1.840622, 2631.964699, -2630.124077, -1.570796, 1.045907, -2.616703, 
0.003100, 1.898895, 2570.880348, -2568.981453, -1.570796, 1.045820, -2.616616, 
0.003200, 1.956868, 2511.335220, -2509.378352, -1.570796, 1.045729, -2.616525, 
0.003300, 2.014532, 2453.288549, -2451.274017, -1.570796, 1.045636, -2.616432, 
0.003400, 2.071878, 2396.700796, -2394.628918, -1.570796, 1.045540, -2.616336, 
0.003500, 2.128896, 2341.533598, -2339.404702, -1.570796, 1.045441, -2.616237, 
0.003600, 2.185578, 2287.749725, -2285.564146, -1.570796, 1.045339, -2.616135, 
0.003700, 2.241916, 2235.313031, -2233.071115, -1.570796, 1.045235, -2.616031, 
0.003800, 2.297899, 2184.188419, -2181.890520, -1.570796, 1.045127, -2.615923, 
